Failure Name,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures,hsdes_link,axon_link,Errors
22f33636,ba05wvaw0274,Test,47126ca4-58a7-42ef-9771-3e838663bdf5,PM,22f33636-dd2f-4b8e-80c4-f992132b8b60,,https://axonsv.app.intel.com/apps/record-viewer/47126ca4-58a7-42ef-9771-3e838663bdf5,"['HW.ERR', 'HW', 'HW.CORR']",,,"['corerrsts_oob.advisory_non_fatal_error_status', 'corerrsts_msm.advisory_non_fatal_error_status', 'corerrsts_oob.advisory_non_fatal_error_status', 'msm_global_status_ctrl_reg.pcode_err: PCI_ERR logged and occurred going to PUNIT', 'msm_global_status_ctrl_reg.peci_err: PCI_ERR logged and sent (maybe) for PECI', 'msm_global_status_ctrl_reg.msm_pmsb_err: Error on PMSB (PCI_ERR logged for PMSB)'] None None None None"
8db0b803,ba05wvaw0261,Test,c738fdb4-21cc-46e1-aab3-a1432176ed49,PM,8db0b803-0cbc-413b-90be-4dd33ececfcb,,https://axonsv.app.intel.com/apps/record-viewer/c738fdb4-21cc-46e1-aab3-a1432176ed49,"['HW.ERR', 'HW.MCE', 'HW.MCE.IMC', 'HW.CORR', 'HW']",,,None None None None None None None None None None None None
02ef9762,ba05wvaw0274,Test,5b43da93-990f-4564-954b-d776400a2018,PM,02ef9762-d15c-4c4d-b72a-004eed8c8554,,https://axonsv.app.intel.com/apps/record-viewer/5b43da93-990f-4564-954b-d776400a2018,"['HW.ERR', 'HW', 'HW.CORR']",,,"['corerrsts_oob.advisory_non_fatal_error_status', 'corerrsts_msm.advisory_non_fatal_error_status', 'corerrsts_oob.advisory_non_fatal_error_status', 'msm_global_status_ctrl_reg.pcode_err: PCI_ERR logged and occurred going to PUNIT', 'msm_global_status_ctrl_reg.peci_err: PCI_ERR logged and sent (maybe) for PECI', 'msm_global_status_ctrl_reg.msm_pmsb_err: Error on PMSB (PCI_ERR logged for PMSB)'] None None None None"
b37e4201,ba05wvaw0274,Test,e970d574-3f65-41a4-b8d3-76199c55e984,PM,b37e4201-7dc5-4ce8-8061-66dbd54693c4,,https://axonsv.app.intel.com/apps/record-viewer/e970d574-3f65-41a4-b8d3-76199c55e984,"['HW.ERR', 'HW', 'HW.CORR']",,,"['corerrsts_msm.advisory_non_fatal_error_status', 'corerrsts_oob.advisory_non_fatal_error_status', 'msm_global_status_ctrl_reg.pcode_err: PCI_ERR logged and occurred going to PUNIT', 'msm_global_status_ctrl_reg.peci_err: PCI_ERR logged and sent (maybe) for PECI', 'msm_global_status_ctrl_reg.msm_pmsb_err: Error on PMSB (PCI_ERR logged for PMSB)'] None None None None"
f5a98f6f,ba05wvaw0244,Test,acdac2b4-8f8d-440b-9d63-93d6016aa712,RDT_Mesh,f5a98f6f-a77f-4d9c-9ad0-2420f8aea5a0,14023971471.0,https://axonsv.app.intel.com/apps/record-viewer/acdac2b4-8f8d-440b-9d63-93d6016aa712,"['HW.ERR', 'HW', 'HW.CORR']",https://hsdes.intel.com/appstore/article/#/14023971471,https://axon.intel.com/app/view/acdac2b4-8f8d-440b-9d63-93d6016aa712,"['corerrsts_msm.advisory_non_fatal_error_status', 'corerrsts_oob.advisory_non_fatal_error_status', 'msm_global_status_ctrl_reg.pcode_err: PCI_ERR logged and occurred going to PUNIT', 'msm_global_status_ctrl_reg.peci_err: PCI_ERR logged and sent (maybe) for PECI', 'msm_global_status_ctrl_reg.msm_pmsb_err: Error on PMSB (PCI_ERR logged for PMSB)'] None None None"
149409d2,ba05wvaw0290,Test,454c196b-a873-4991-8e38-b851016efde3,RDT_Mesh,149409d2-77ee-45f8-921e-295f3bc2c758,,https://axonsv.app.intel.com/apps/record-viewer/454c196b-a873-4991-8e38-b851016efde3,"['HW.CORR', 'HW', 'HW.ERR']",,,"['corerrsts_oob.advisory_non_fatal_error_status', 'corerrsts_msm.advisory_non_fatal_error_status', 'corerrsts_oob.advisory_non_fatal_error_status', 'msm_global_status_ctrl_reg.pcode_err: PCI_ERR logged and occurred going to PUNIT', 'msm_global_status_ctrl_reg.peci_err: PCI_ERR logged and sent (maybe) for PECI', 'msm_global_status_ctrl_reg.msm_pmsb_err: Error on PMSB (PCI_ERR logged for PMSB)'] None None None"
810cecf9,ba05wvaw0244,Test,de2d99ae-5c41-4854-a49b-2abb0483c4ab,RDT_Mesh,810cecf9-7ef7-4f3e-9a78-fee10ecbedc2,14023971471.0,https://axonsv.app.intel.com/apps/record-viewer/de2d99ae-5c41-4854-a49b-2abb0483c4ab,"['HW.ERR', 'HW', 'HW.CORR']",https://hsdes.intel.com/appstore/article/#/14023971471,https://axon.intel.com/app/view/de2d99ae-5c41-4854-a49b-2abb0483c4ab,"['corerrsts_oob.advisory_non_fatal_error_status', 'corerrsts_msm.advisory_non_fatal_error_status', 'corerrsts_oob.advisory_non_fatal_error_status', 'msm_global_status_ctrl_reg.pcode_err: PCI_ERR logged and occurred going to PUNIT', 'msm_global_status_ctrl_reg.peci_err: PCI_ERR logged and sent (maybe) for PECI', 'msm_global_status_ctrl_reg.msm_pmsb_err: Error on PMSB (PCI_ERR logged for PMSB)'] None None"
563713bf,ba05wvaw0274,Test,53067fd0-5bcd-4c0c-b492-d593b17d8e72,RDT_Mesh,563713bf-72e2-4cc0-9b8e-fc6acb9d231d,,https://axonsv.app.intel.com/apps/record-viewer/53067fd0-5bcd-4c0c-b492-d593b17d8e72,"['HW.ERR', 'HW', 'HW.CORR']",,,"['corerrsts_oob.advisory_non_fatal_error_status', 'corerrsts_msm.advisory_non_fatal_error_status', 'corerrsts_oob.advisory_non_fatal_error_status', 'msm_global_status_ctrl_reg.pcode_err: PCI_ERR logged and occurred going to PUNIT', 'msm_global_status_ctrl_reg.peci_err: PCI_ERR logged and sent (maybe) for PECI', 'msm_global_status_ctrl_reg.msm_pmsb_err: Error on PMSB (PCI_ERR logged for PMSB)'] None None None None"
56f7c9da,ba05wvaw0274,Test,3752e9d5-189c-4dd4-86c7-d716a3b9b27f,RDT_Mesh,56f7c9da-d9b1-4965-9062-c1d3f756fc42,,https://axonsv.app.intel.com/apps/record-viewer/3752e9d5-189c-4dd4-86c7-d716a3b9b27f,"['HW.ERR', 'HW', 'HW.CORR']",,,"['corerrsts_oob.advisory_non_fatal_error_status', 'corerrsts_msm.advisory_non_fatal_error_status', 'corerrsts_oob.advisory_non_fatal_error_status', 'msm_global_status_ctrl_reg.pcode_err: PCI_ERR logged and occurred going to PUNIT', 'msm_global_status_ctrl_reg.peci_err: PCI_ERR logged and sent (maybe) for PECI', 'msm_global_status_ctrl_reg.msm_pmsb_err: Error on PMSB (PCI_ERR logged for PMSB)'] None None None None"
bf7c4add,ba05wvaw0269,Test,7acd8df6-256b-433d-8048-32eeae13b62b,RDT_Mesh,bf7c4add-5624-4c2b-ac28-c31f9eb4c814,14023962527.0,https://axonsv.app.intel.com/apps/record-viewer/7acd8df6-256b-433d-8048-32eeae13b62b,"['HW.ERR', 'HW', 'HW.CORR']",https://hsdes.intel.com/appstore/article/#/14023962527,https://axon.intel.com/app/view/7acd8df6-256b-433d-8048-32eeae13b62b,"['corerrsts_oob.advisory_non_fatal_error_status', 'corerrsts_msm.advisory_non_fatal_error_status', 'corerrsts_oob.advisory_non_fatal_error_status', 'msm_global_status_ctrl_reg.pcode_err: PCI_ERR logged and occurred going to PUNIT', 'msm_global_status_ctrl_reg.peci_err: PCI_ERR logged and sent (maybe) for PECI', 'msm_global_status_ctrl_reg.msm_pmsb_err: Error on PMSB (PCI_ERR logged for PMSB)'] None None None None None"
