Failure Name,NGA_Link,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures,hsdes_link,axon_link,Errors
70d12bd5,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/70d12bd5-85d8-4535-87ff-f054eebd9094,ba05wvaw0014,Test,5d6606e6-bcc6-4c83-8c37-8627d4bfc5e5,Reset-Matrix,70d12bd5-85d8-4535-87ff-f054eebd9094,16024220479.0,https://axonsv.app.intel.com/apps/record-viewer/5d6606e6-bcc6-4c83-8c37-8627d4bfc5e5,"['HW.MCE', 'HW', 'HW.MCE.PCU', 'HW.ERR', 'HW.MCE.PUNIT', 'HW.CORR']",,,['Merge Bank6-Punit signaled an MCA to Ubox; Check mc_status of MCA BANKID:6 and  MCA BANK_INDEX:0xb']
5575634f,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/5575634f-4f69-4bad-9d82-2769eef00f98,ba05wvaw0147,Test,93cfc899-90be-4f45-ba1e-e13a17bf4b89,Reset,5575634f-4f69-4bad-9d82-2769eef00f98,16023912077.0,https://axonsv.app.intel.com/apps/record-viewer/93cfc899-90be-4f45-ba1e-e13a17bf4b89,"['HW.MCE.IIO', 'HW.ERR', 'HW.MCE', 'HW.MCE.UBOX', 'HW.MCE.PCU', 'HW.MCE.PUNIT', 'HW', 'HW.CORR']",,,"['mscod: MCE when CR4.MCE is clear-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when CR4.MCE is clear-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank6-Punit signaled an MCA to Ubox; Check mc_status of MCA BANKID:6 and  MCA BANK_INDEX:0xb']"
42b57049,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/42b57049-7ed8-4df6-a932-e53a7686706f,ba05wvaw0097,Test,a81c4f7d-0c17-42e4-af36-825a676c9209,Mesh,42b57049-7ed8-4df6-a932-e53a7686706f,,https://axonsv.app.intel.com/apps/record-viewer/a81c4f7d-0c17-42e4-af36-825a676c9209,"['HW', 'HW.CORR', 'HW.ERR', 'HW.KNOWN_ISSUE', 'HW.MCE', 'HW.MCE.MLC', 'HW.MCE.UPI']",,,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
d1d8c5f3,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/d1d8c5f3-828c-49d3-a862-499d8b14186f,ba05wvaw0097,Test,1ba0aba9-74c5-48d1-872b-65f4f72a305e,Mesh,d1d8c5f3-828c-49d3-a862-499d8b14186f,16023994363.0,https://axonsv.app.intel.com/apps/record-viewer/1ba0aba9-74c5-48d1-872b-65f4f72a305e,"['HW', 'HW.CORR', 'HW.ERR', 'HW.KNOWN_ISSUE', 'HW.MCE', 'HW.MCE.MLC', 'HW.MCE.UPI']",,,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
adf8ccea,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/adf8ccea-c281-46ab-aecc-8b59f53a7363,ba05wvaw0097,Test,71422574-0592-47a7-be76-c59b1e5579e3,Mesh,adf8ccea-c281-46ab-aecc-8b59f53a7363,16023994363.0,https://axonsv.app.intel.com/apps/record-viewer/71422574-0592-47a7-be76-c59b1e5579e3,"['HW', 'HW.CORR', 'HW.ERR', 'HW.KNOWN_ISSUE', 'HW.MCE', 'HW.MCE.MLC', 'HW.MCE.UPI']",,,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
6315adbe,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/6315adbe-a410-44f0-8c5b-415348412ee1,jf04wvaw5119,Test,a4bdcb5c-8519-000c-bae4-4fce30d59978,Concurrency,6315adbe-a410-44f0-8c5b-415348412ee1,,https://axonsv.app.intel.com/apps/record-viewer/a4bdcb5c-8519-000c-bae4-4fce30d59978,"['HW.ERR', 'HW.MCE.IIO', 'HW.CFG.ERR', 'HW.MCE', 'HW.MCE.DTLB', 'HW.CORR', 'HW.MCE.UPI', 'HW.MCE.UBOX', 'HW']",,,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
4201ce52,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/4201ce52-e111-4963-b0fe-ff59987faf21,jf04wvaw5179,Test,b49317b5-0faa-49e5-86c2-d2999999ecdb,Reset,4201ce52-e111-4963-b0fe-ff59987faf21,16024663199.0,https://axonsv.app.intel.com/apps/record-viewer/b49317b5-0faa-49e5-86c2-d2999999ecdb,"['HW.MCE.UPI', 'HW.CORR', 'HW.MCE.PCU', 'HW.ERR', 'HW', 'HW.MCE.PUNIT', 'HW.MCE']",,,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank6-Punit signaled an MCA to Ubox; Check mc_status of MCA BANKID:6 and  MCA BANK_INDEX:0x9', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
f9a1cf09,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/f9a1cf09-f19a-4088-a4b0-a3182995e1f2,ba05wvaw0152,Test,d0a69159-23de-4952-a669-9961d86c0a77,PM,f9a1cf09-f19a-4088-a4b0-a3182995e1f2,16024220479.0,https://axonsv.app.intel.com/apps/record-viewer/d0a69159-23de-4952-a669-9961d86c0a77,"['HW.MCE.PCU', 'HW.ERR', 'HW.MCE.UPI', 'HW', 'HW.MCE', 'HW.CORR', 'HW.MCE.PUNIT']",,,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank6-Punit signaled an MCA to Ubox; Check mc_status of MCA BANKID:6 and  MCA BANK_INDEX:0xa']"
87305a93,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/87305a93-8f4e-4e0d-acd5-af4b03d97d1f,ba05wvaw0054,PostTest,a2aa749a-7445-468f-1f25-13d4a7ab5899,CI_GNR_AP_DF,87305a93-8f4e-4e0d-acd5-af4b03d97d1f,,https://axonsv.app.intel.com/apps/record-viewer/a2aa749a-7445-468f-1f25-13d4a7ab5899,"['HW.ERR', 'HW.MCE', 'HW.MCE.DTLB', 'HW.CORR', 'HW.MCE.UPI', 'HW']",,,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
47c324b9,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/47c324b9-9472-4a8e-91ba-8585506dbff2,ba05wvaw0008,Test,f5a86ea4-cdba-7678-99cc-46062b9534c0,Reset-Matrix,47c324b9-9472-4a8e-91ba-8585506dbff2,16024677791.0,https://axonsv.app.intel.com/apps/record-viewer/f5a86ea4-cdba-7678-99cc-46062b9534c0,"['HW', 'HW.MCE.IIO', 'HW.CORR', 'HW.MCE.UBOX', 'HW.ERR', 'HW.MCE.DTLB', 'HW.MCE']",,,['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.']
