Failure Name,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures,hsdes_link,axon_link,Errors
d7b74293,ba05wvaw0154,Test,8f1815c2-def4-e1e0-df4c-80177f9ed89b,,d7b74293-1520-4181-a505-e53b7f918432,,https://axonsv.app.intel.com/apps/record-viewer/8f1815c2-def4-e1e0-df4c-80177f9ed89b,"['HW', 'HW.CORR', 'HW.MCE.DTLB', 'HW.ERR', 'HW.MCE.MLC', 'HW.MCE.IIO', 'HW.MCE.UPI', 'HW.MCE', 'HW.MCE.UBOX']",,,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x0', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
c74038cb,ba05wvaw0154,Test,f779f8e0-d850-0863-2089-310c8cc0485d,,c74038cb-0bbe-49e3-b298-5d2bfdcb2907,,https://axonsv.app.intel.com/apps/record-viewer/f779f8e0-d850-0863-2089-310c8cc0485d,"['HW', 'HW.MCE.UPI', 'HW.MCE.DTLB', 'HW.ERR', 'HW.MCE', 'HW.MCE.MLC', 'HW.MCE.CHA', 'HW.CORR']",,,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x0', 'Merge Bank7-CHA0 signaled an MCA to Ubox; Check mc_status of MCA BANKID:7 and  MCA BANK_INDEX:0x66', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
10a696f9,ba05wvaw0069,Test,740c0193-cd39-43dd-16f5-a0727731c9fb,,10a696f9-2abd-4c8c-8c9d-1f73f7739e4b,16025715778.0,https://axonsv.app.intel.com/apps/record-viewer/740c0193-cd39-43dd-16f5-a0727731c9fb,"['HW', 'HW.MCE.UPI', 'HW.MCE.DTLB', 'HW.ERR', 'HW.MCE', 'HW.MCE.MLC', 'HW.MCE.CHA', 'HW.CORR']",https://hsdes.intel.com/appstore/article/#/16025715778,https://axon.intel.com/app/view/740c0193-cd39-43dd-16f5-a0727731c9fb,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank7-CHA0 signaled an MCA to Ubox; Check mc_status of MCA BANKID:7 and  MCA BANK_INDEX:0xc', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
57426c6c,ba05wvaw0154,Test,92eb3077-d1fa-87a8-4b38-9abe057c74ed,,57426c6c-284e-4f76-a1aa-b5f95b41042a,,https://axonsv.app.intel.com/apps/record-viewer/92eb3077-d1fa-87a8-4b38-9abe057c74ed,"['HW.MCE.UBOX', 'HW.MCE.DTLB', 'HW.MCE.UPI', 'HW.MCE.MLC', 'HW.CORR', 'HW.MCE', 'HW.ERR', 'HW.MCE.IIO', 'HW']",,,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
d060eba0,jf04wvaw5088,PreTest,92eb3077-d1fa-87a8-4b38-9abe057c74ed,,d060eba0-9cb1-443c-a647-781f978d6901,,,[],,,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
24042e59,ba05wvaw0116,PreTest,92eb3077-d1fa-87a8-4b38-9abe057c74ed,,24042e59-4afe-4711-93f4-b9255d57f083,,,[],,,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
e2269d3e,ba05wvaw0069,Test,8eb2159d-524d-a015-e5d0-e50e4fdcf981,,e2269d3e-a913-4720-961c-7f8e6a1393ee,,https://axonsv.app.intel.com/apps/record-viewer/8eb2159d-524d-a015-e5d0-e50e4fdcf981,"['HW', 'HW.MCE.UBOX', 'HW.MCE', 'HW.MCE.IIO', 'HW.MCE.UPI', 'HW.ERR', 'HW.CORR', 'HW.MCE.DTLB', 'HW.MCE.MLC']",,,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x0', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
dbdaf016,ba05wvaw0069,Test,f32dc47b-73d9-06f3-75e2-d693da1f0710,,dbdaf016-4638-423b-a07b-bc1e35af6733,16024320819.0,https://axonsv.app.intel.com/apps/record-viewer/f32dc47b-73d9-06f3-75e2-d693da1f0710,"['HW.MCE.UBOX', 'HW.MCE.DTLB', 'HW.MCE.UPI', 'HW.CORR', 'HW.MCE', 'HW.ERR', 'HW.MCE.IIO', 'HW']",https://hsdes.intel.com/appstore/article/#/16024320819,https://axon.intel.com/app/view/f32dc47b-73d9-06f3-75e2-d693da1f0710,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x0', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
56e96ccf,ba05wvaw0060,PreBoot,f32dc47b-73d9-06f3-75e2-d693da1f0710,,56e96ccf-a014-4eb0-97f7-7486ac0eb057,,,[],https://hsdes.intel.com/appstore/article/#/16024320819,https://axon.intel.com/app/view/f32dc47b-73d9-06f3-75e2-d693da1f0710,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x0', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
ec36ec2d,ba05wvaw0117,PreBoot,f32dc47b-73d9-06f3-75e2-d693da1f0710,,ec36ec2d-badd-4304-98d5-162282d4c816,,,[],https://hsdes.intel.com/appstore/article/#/16024320819,https://axon.intel.com/app/view/f32dc47b-73d9-06f3-75e2-d693da1f0710,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x0', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
2af32ef9,ba05wvaw0141,PreTest,f32dc47b-73d9-06f3-75e2-d693da1f0710,,2af32ef9-26a4-4d07-938e-553868855cdd,,,[],https://hsdes.intel.com/appstore/article/#/16024320819,https://axon.intel.com/app/view/f32dc47b-73d9-06f3-75e2-d693da1f0710,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x0', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
32e74f4f,ba05wvaw0145,PreTest,f32dc47b-73d9-06f3-75e2-d693da1f0710,,32e74f4f-ad1c-463a-a2b6-18fa20d64e3a,,,[],https://hsdes.intel.com/appstore/article/#/16024320819,https://axon.intel.com/app/view/f32dc47b-73d9-06f3-75e2-d693da1f0710,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x0', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
dfce1dc3,jf04wvaw5088,Test,e88769da-80b7-12e4-be47-9f330d16d59a,,dfce1dc3-59a4-4ddb-a921-7bb14e591a98,16024760157.0,https://axonsv.app.intel.com/apps/record-viewer/e88769da-80b7-12e4-be47-9f330d16d59a,"['HW.MCE.UBOX', 'HW.MCE.DTLB', 'HW.CORR', 'HW.MCE', 'HW.ERR', 'HW.MCE.IIO', 'HW']",https://hsdes.intel.com/appstore/article/#/16024760157,https://axon.intel.com/app/view/e88769da-80b7-12e4-be47-9f330d16d59a,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.']"
8bbf7e27,ba05wvaw0117,PreBoot,e88769da-80b7-12e4-be47-9f330d16d59a,,8bbf7e27-d1cb-40e0-879a-22b8e0c2dc61,,,[],https://hsdes.intel.com/appstore/article/#/16024760157,https://axon.intel.com/app/view/e88769da-80b7-12e4-be47-9f330d16d59a,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.']"
5105d17c,ba05wvaw0113,Test,35e666e1-99ed-5358-d177-19c8998d831b,,5105d17c-1b91-4008-9074-dfb66cd4a112,,https://axonsv.app.intel.com/apps/record-viewer/35e666e1-99ed-5358-d177-19c8998d831b,"['HW', 'HW.MCE.UBOX', 'HW.MCE', 'HW.MCE.IIO', 'HW.MCE.UPI', 'HW.ERR', 'HW.CORR', 'HW.MCE.DTLB', 'HW.MCE.MLC']",,,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
0473ba90,ba05wvaw0085,Test,70bf24f6-70e5-743b-7a70-927e9cb1e460,,0473ba90-5af6-43a4-ba10-cd2a65e8c046,16024489973.0,https://axonsv.app.intel.com/apps/record-viewer/70bf24f6-70e5-743b-7a70-927e9cb1e460,"['HW.MCE.DTLB', 'HW.MCE.UBOX', 'HW.ERR', 'HW.MCE.IIO', 'HW', 'HW.MCE', 'HW.CORR']",https://hsdes.intel.com/appstore/article/#/16024489973,https://axon.intel.com/app/view/70bf24f6-70e5-743b-7a70-927e9cb1e460,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.']"
44a32369,ba05wvaw0145,PreBoot,70bf24f6-70e5-743b-7a70-927e9cb1e460,,44a32369-85dd-4340-a918-2fc8d65c6989,,,[],https://hsdes.intel.com/appstore/article/#/16024489973,https://axon.intel.com/app/view/70bf24f6-70e5-743b-7a70-927e9cb1e460,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.']"
19f8ba7c,jf04wvaw5006,PreBoot,70bf24f6-70e5-743b-7a70-927e9cb1e460,,19f8ba7c-2ca9-454c-80c3-1f0e09e71059,,,[],https://hsdes.intel.com/appstore/article/#/16024489973,https://axon.intel.com/app/view/70bf24f6-70e5-743b-7a70-927e9cb1e460,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.']"
78ab52c3,jf04wvaw5307,Test,4e8db110-5569-d6ab-fd47-d7c46e0df0ac,,78ab52c3-788c-4d8d-9e35-d04f86dcd27e,,https://axonsv.app.intel.com/apps/record-viewer/4e8db110-5569-d6ab-fd47-d7c46e0df0ac,"['HW.MCE.IIO', 'HW.ERR', 'HW.MCE.UBOX', 'HW.MCE.DTLB', 'HW.CFG.ERR', 'HW.CORR', 'HW', 'HW.MCE']",,,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.']"
8f018320,ba05wvaw0154,Test,d5552631-ec09-468a-87da-66d91f181a68,,8f018320-5ee5-4ab7-b353-dfa07f799910,,https://axonsv.app.intel.com/apps/record-viewer/d5552631-ec09-468a-87da-66d91f181a68,"['HW.CORR', 'HW.MCE.IIO', 'HW.MCE.PUNIT', 'HW.MCE.UBOX', 'HW', 'HW.MCE.PCU', 'HW.MCE', 'HW.ERR']",,,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank6-Punit signaled an MCA to Ubox; Check mc_status of MCA BANKID:6 and  MCA BANK_INDEX:0x9', 'Merge Bank6-Punit signaled an MCA to Ubox; Check mc_status of MCA BANKID:6 and  MCA BANK_INDEX:0x9']"
efb75947,jf04wvaw5307,Test,804a49b0-0899-6271-8d24-8d8e35867948,,efb75947-4339-42d9-a6e4-5e436c6ff9fa,16025716481.0,https://axonsv.app.intel.com/apps/record-viewer/804a49b0-0899-6271-8d24-8d8e35867948,"['HW.CORR', 'HW', 'HW.MCE.IIO', 'HW.MCE', 'HW.ERR', 'HW.MCE.UBOX', 'HW.MCE.DTLB', 'HW.MCE.MLC', 'HW.CFG.ERR']",https://hsdes.intel.com/appstore/article/#/16025716481,https://axon.intel.com/app/view/804a49b0-0899-6271-8d24-8d8e35867948,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.']"
7a023829,ba05wvaw0085,Test,a9c20db3-a3b6-192c-af28-58e6db1179d7,,7a023829-85d3-4f4b-b277-74e90f68d7e6,,https://axonsv.app.intel.com/apps/record-viewer/a9c20db3-a3b6-192c-af28-58e6db1179d7,"['HW.ERR', 'HW', 'HW.MCE.IIO', 'HW.MCE', 'HW.MCE.DTLB', 'HW.CORR', 'HW.MCE.UBOX']",,,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.']"
766e3642,jf04wvaw5291,Test,8acc4b5f-e893-25db-865d-9813113c2b73,,766e3642-eb2c-4dbd-a8dd-b645b78402de,,https://axonsv.app.intel.com/apps/record-viewer/8acc4b5f-e893-25db-865d-9813113c2b73,"['HW.MCE.MLC', 'HW.MCE', 'HW', 'HW.MCE.DTLB', 'HW.MCE.UPI', 'HW.ERR', 'HW.MCE.CHA', 'HW.CORR']",,,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank7-CHA0 signaled an MCA to Ubox; Check mc_status of MCA BANKID:7 and  MCA BANK_INDEX:0x13', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank7-CHA0 signaled an MCA to Ubox; Check mc_status of MCA BANKID:7 and  MCA BANK_INDEX:0x2a']"
e3de2cd2,ba05wvaw0113,Test,7b88694f-e1b6-3563-5136-2b31604873c1,,e3de2cd2-b82e-47ba-83a9-e7346bfd8ba5,16025779114.0,https://axonsv.app.intel.com/apps/record-viewer/7b88694f-e1b6-3563-5136-2b31604873c1,"['HW', 'HW.CORR', 'HW.MCE.CHA', 'HW.MCE', 'HW.ERR', 'HW.MCE.UPI', 'HW.MCE.DTLB', 'HW.MCE.MLC']",,,"['Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1', 'Merge Bank7-CHA0 signaled an MCA to Ubox; Check mc_status of MCA BANKID:7 and  MCA BANK_INDEX:0x29', 'Merge Bank5-UPI signaled an MCA to Ubox; Check mc_status of MCA BANKID:5 and  MCA BANK_INDEX:0x1']"
371a83cf,ba05wvaw0085,Test,e58610b3-eee1-0149-7a71-9d714ce25eb9,,371a83cf-a3f9-4c71-921a-37b72598bcbf,16024489973.0,https://axonsv.app.intel.com/apps/record-viewer/e58610b3-eee1-0149-7a71-9d714ce25eb9,"['HW.MCE.IIO', 'HW.MCE.UBOX', 'HW.MCE', 'HW.CORR', 'HW.ERR', 'HW.MCE.DTLB', 'HW']",https://hsdes.intel.com/appstore/article/#/16024489973,https://axon.intel.com/app/view/e58610b3-eee1-0149-7a71-9d714ce25eb9,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.']"
3dabb53b,jf04wvaw5315,Test,f378d9a3-1775-4dc7-95a9-826f4fa54161,Concurrency,3dabb53b-74d5-486f-a97c-b7bbeaa16250,,https://axonsv.app.intel.com/apps/record-viewer/f378d9a3-1775-4dc7-95a9-826f4fa54161,"['HW.CFG.ERR', 'HW', 'HW.MCE', 'HW.ERR', 'HW.MCE.PCU', 'HW.MCE.PUNIT', 'HW.CORR']",,,['Merge Bank6-Punit signaled an MCA to Ubox; Check mc_status of MCA BANKID:6 and  MCA BANK_INDEX:0x9']
9130ca85,jf04wvaw5316,Test,a278297a-32e5-4829-aa79-38a6426a5e8e,,9130ca85-48d1-4937-a29b-df7de4573cec,22020575222.0,https://axonsv.app.intel.com/apps/record-viewer/a278297a-32e5-4829-aa79-38a6426a5e8e,"['HW.MCE', 'HW.MCE.PUNIT', 'HW', 'HW.MCE.PCU', 'HW.ERR', 'HW.CORR']",https://hsdes.intel.com/appstore/article/#/22020575222,https://axon.intel.com/app/view/a278297a-32e5-4829-aa79-38a6426a5e8e,['Merge Bank6-Punit signaled an MCA to Ubox; Check mc_status of MCA BANKID:6 and  MCA BANK_INDEX:0xb']
234a053b,jf04wvaw5307,Test,21419f81-509b-0da6-607e-3afa932e93b8,,234a053b-0df7-4c56-8a31-1164840e47fe,,https://axonsv.app.intel.com/apps/record-viewer/21419f81-509b-0da6-607e-3afa932e93b8,"['HW.MCE.DTLB', 'HW.CORR', 'HW.CFG.ERR', 'HW', 'HW.MCE', 'HW.MCE.IIO', 'HW.MCE.UBOX', 'HW.ERR']",,,"['mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when MCIP bit is set-Error signaled by the core and logged in Ubox. Check the core for more details.']"
185face8,jf04wvaw5464,Test,34ec829b-365e-469c-973b-5fb49ece448a,,185face8-fc0a-4f10-83ce-7fcfc5954358,14023762792.0,https://axonsv.app.intel.com/apps/record-viewer/34ec829b-365e-469c-973b-5fb49ece448a,"['HW', 'HW.ERR', 'HW.MCE.DTLB', 'HW.MCE.CHA', 'HW.MCE.IIO', 'HW.MCE.UBOX', 'HW.CORR', 'HW.MCE.MLC', 'HW.MCE']",https://hsdes.intel.com/appstore/article/#/14023762792,https://axon.intel.com/app/view/34ec829b-365e-469c-973b-5fb49ece448a,"['mscod: MCE under WFS-Error signaled by the core and logged in Ubox. Check the core for more details.', 'mscod: MCE when CR4.MCE is clear-Error signaled by the core and logged in Ubox. Check the core for more details.', 'Merge Bank7-CHA0 signaled an MCA to Ubox; Check mc_status of MCA BANKID:7 and  MCA BANK_INDEX:0x1']"
98d31701,ba05wvaw0087,PostTest,7a559909-929d-93c0-9224-c6ea8543f1d0,,98d31701-d9f4-4401-aa33-700193317ae8,,https://axonsv.app.intel.com/apps/record-viewer/7a559909-929d-93c0-9224-c6ea8543f1d0,"['HW.MCE', 'HW.MCE.MLC', 'HW', 'HW.CORR', 'HW.ERR', 'HW.MCE.PUNIT', 'HW.MCE.PCU']",,,['Merge Bank6-Punit signaled an MCA to Ubox; Check mc_status of MCA BANKID:6 and  MCA BANK_INDEX:0x0']
